State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Kansas,6,Trump,1269222,743723,469165,58.597,36.965,-4,-4
Kansas,6,Trump,1269130,744002,468751,58.623,36.935,-4,-4
Kansas,6,Trump,1269327,743183,469890,58.549,37.019,-4,-4
Kansas,6,Trump,1269557,743806,469253,58.588,36.962,-4,-4
Kansas,6,Trump,1268744,743687,468395,58.616,36.918,-4,-4
Kansas,6,Trump,1269077,743975,468820,58.623,36.942,-4,-4
Kansas,6,Trump,1268524,743019,468984,58.574,36.971,-4,-4
Kansas,6,Trump,1269060,743390,469100,58.578,36.964,-4,-4
Kansas,6,Trump,1269327,742991,469651,58.534,37.0,-4,-4
Kansas,6,Trump,1268899,742337,470299,58.502,37.064,-4,-4
Kansas,6,Trump,1269393,732968,480730,57.742,37.871,-4,-3
Kansas,6,Trump,1269885,733789,480713,57.784,37.855,-4,-3
Kansas,6,Trump,1268988,734196,479363,57.857,37.775,-4,-3
Kansas,6,Trump,1269417,733561,479870,57.787,37.802,-4,-3
Kansas,6,Trump,1268750,733164,479758,57.786,37.813,-4,-3
Kansas,6,Trump,1268693,732807,480110,57.761,37.843,-4,-3
Kansas,6,Trump,1269995,734262,480058,57.816,37.8,-4,-3
Kansas,6,Trump,1268413,732453,480244,57.746,37.862,-4,-3
Kansas,6,Trump,1269134,733017,479792,57.757,37.805,-4,-3
Kansas,6,Trump,1268659,733302,479712,57.801,37.813,-4,-3
Kansas,6,Trump,1269652,725196,489417,57.118,38.547,-4,-2
Kansas,6,Trump,1268921,722295,491702,56.922,38.75,-4,-2
Kansas,6,Trump,1268898,723021,490752,56.98,38.675,-4,-2
Kansas,6,Trump,1269122,723629,490069,57.018,38.615,-4,-2
Kansas,6,Trump,1268617,723469,490051,57.028,38.629,-4,-2
Kansas,6,Trump,1268590,723440,490319,57.027,38.651,-4,-2
Kansas,6,Trump,1269857,723070,492001,56.941,38.745,-4,-2
Kansas,6,Trump,1269827,724222,490172,57.033,38.601,-4,-2
Kansas,6,Trump,1268562,721944,491247,56.91,38.725,-4,-2
Kansas,6,Trump,1268683,722379,490863,56.939,38.691,-4,-2
Kansas,6,Trump,1269180,713108,501685,56.187,39.528,-4,-1
Kansas,6,Trump,1268687,712724,501270,56.178,39.511,-4,-1
Kansas,6,Trump,1268353,714347,499861,56.321,39.41,-4,-1
Kansas,6,Trump,1269266,714045,500602,56.257,39.44,-4,-1
Kansas,6,Trump,1268674,713907,500065,56.272,39.416,-4,-1
Kansas,6,Trump,1269183,713449,500962,56.213,39.471,-4,-1
Kansas,6,Trump,1268915,714552,500114,56.312,39.413,-4,-1
Kansas,6,Trump,1269739,715144,500257,56.322,39.398,-4,-1
Kansas,6,Trump,1267888,713544,500090,56.278,39.443,-4,-1
Kansas,6,Trump,1268542,714272,499870,56.307,39.405,-4,-1
Kansas,6,Trump,1269291,706573,508796,55.667,40.085,-4,0
Kansas,6,Trump,1269014,704676,510092,55.529,40.196,-4,0
Kansas,6,Trump,1269679,704905,510656,55.518,40.219,-4,0
Kansas,6,Trump,1268581,705006,510057,55.574,40.207,-4,0
Kansas,6,Trump,1268969,705403,509722,55.589,40.168,-4,0
Kansas,6,Trump,1269742,706198,509828,55.617,40.152,-4,0
Kansas,6,Trump,1269360,705662,510175,55.592,40.192,-4,0
Kansas,6,Trump,1269487,704734,511129,55.513,40.263,-4,0
Kansas,6,Trump,1269080,704554,510619,55.517,40.235,-4,0
Kansas,6,Trump,1269560,705440,510519,55.566,40.212,-4,0
Kansas,6,Trump,1269629,696917,519312,54.891,40.903,-4,1
Kansas,6,Trump,1269488,696641,519696,54.876,40.937,-4,1
Kansas,6,Trump,1268726,695087,520397,54.786,41.017,-4,1
Kansas,6,Trump,1268898,695277,520984,54.794,41.058,-4,1
Kansas,6,Trump,1268901,696328,519385,54.876,40.932,-4,1
Kansas,6,Trump,1269810,695861,520768,54.8,41.011,-4,1
Kansas,6,Trump,1270026,696503,520355,54.842,40.972,-4,1
Kansas,6,Trump,1270588,697189,520319,54.871,40.951,-4,1
Kansas,6,Trump,1268700,695810,519532,54.844,40.95,-4,1
Kansas,6,Trump,1269146,696351,519843,54.868,40.96,-4,1
Kansas,6,Trump,1268688,686650,529354,54.123,41.725,-4,2
Kansas,6,Trump,1269108,686786,529447,54.116,41.718,-4,2
Kansas,6,Trump,1269093,687694,528522,54.188,41.646,-4,2
Kansas,6,Trump,1268930,687590,528822,54.187,41.675,-4,2
Kansas,6,Trump,1268587,687561,528507,54.199,41.661,-4,2
Kansas,6,Trump,1269603,688235,528646,54.209,41.639,-4,2
Kansas,6,Trump,1268427,686852,528929,54.15,41.7,-4,2
Kansas,6,Trump,1268808,687474,529031,54.183,41.695,-4,2
Kansas,6,Trump,1269016,686515,529749,54.098,41.745,-4,2
Kansas,6,Trump,1269894,688168,528828,54.191,41.643,-4,2
Kansas,6,Trump,1268981,679233,537874,53.526,42.386,-4,3
Kansas,6,Trump,1269235,678727,538810,53.475,42.452,-4,3
Kansas,6,Trump,1268929,678644,537924,53.482,42.392,-4,3
Kansas,6,Trump,1269399,679293,538068,53.513,42.388,-4,3
Kansas,6,Trump,1269608,678904,538366,53.474,42.404,-4,3
Kansas,6,Trump,1269148,679049,538243,53.504,42.41,-4,3
Kansas,6,Trump,1269546,679425,538142,53.517,42.389,-4,3
Kansas,6,Trump,1268842,678244,538616,53.454,42.449,-4,3
Kansas,6,Trump,1269134,678633,538528,53.472,42.433,-4,3
Kansas,6,Trump,1269682,679129,538471,53.488,42.41,-4,3
Kansas,6,Trump,1268357,670466,546695,52.861,43.103,-4,4
Kansas,6,Trump,1268782,669874,547361,52.797,43.141,-4,4
Kansas,6,Trump,1269736,671207,547249,52.862,43.099,-4,4
Kansas,6,Trump,1269529,672672,545515,52.986,42.97,-4,4
Kansas,6,Trump,1269237,671331,546834,52.892,43.084,-4,4
Kansas,6,Trump,1268557,669718,547472,52.794,43.157,-4,4
Kansas,6,Trump,1269874,670938,547427,52.835,43.109,-4,4
Kansas,6,Trump,1268910,669938,547268,52.796,43.129,-4,4
Kansas,6,Trump,1268961,670736,546727,52.857,43.085,-4,4
Kansas,6,Trump,1268010,670183,546663,52.853,43.112,-4,4
Kansas,6,Trump,1268528,748867,464200,59.034,36.594,-3,-4
Kansas,6,Trump,1270128,751849,462838,59.195,36.44,-3,-4
Kansas,6,Trump,1268581,751201,461984,59.216,36.417,-3,-4
Kansas,6,Trump,1268939,750325,462822,59.13,36.473,-3,-4
Kansas,6,Trump,1268848,750542,462746,59.151,36.47,-3,-4
Kansas,6,Trump,1268715,749088,463909,59.043,36.565,-3,-4
Kansas,6,Trump,1269094,749742,463654,59.077,36.534,-3,-4
Kansas,6,Trump,1268699,749504,463188,59.077,36.509,-3,-4
Kansas,6,Trump,1270095,751442,462884,59.164,36.445,-3,-4
Kansas,6,Trump,1269273,750511,463258,59.129,36.498,-3,-4
Kansas,6,Trump,1269017,739701,474108,58.289,37.36,-3,-3
Kansas,6,Trump,1270348,741395,473645,58.362,37.285,-3,-3
Kansas,6,Trump,1269318,739718,474497,58.277,37.382,-3,-3
Kansas,6,Trump,1269139,738930,474729,58.223,37.406,-3,-3
Kansas,6,Trump,1269135,739808,474091,58.292,37.355,-3,-3
Kansas,6,Trump,1268134,740499,472572,58.393,37.265,-3,-3
Kansas,6,Trump,1268912,739922,473942,58.312,37.35,-3,-3
Kansas,6,Trump,1268912,739103,474322,58.247,37.38,-3,-3
Kansas,6,Trump,1269628,740510,473979,58.325,37.332,-3,-3
Kansas,6,Trump,1269207,741240,473535,58.402,37.31,-3,-3
Kansas,6,Trump,1269326,730585,484198,57.557,38.146,-3,-2
Kansas,6,Trump,1268867,731013,483856,57.611,38.133,-3,-2
Kansas,6,Trump,1269071,731482,483433,57.639,38.093,-3,-2
Kansas,6,Trump,1268782,730638,483755,57.586,38.128,-3,-2
Kansas,6,Trump,1269435,730484,484124,57.544,38.137,-3,-2
Kansas,6,Trump,1269641,731227,483844,57.593,38.109,-3,-2
Kansas,6,Trump,1268352,730076,483915,57.561,38.153,-3,-2
Kansas,6,Trump,1269213,730411,484132,57.548,38.144,-3,-2
Kansas,6,Trump,1268223,730361,483578,57.589,38.13,-3,-2
Kansas,6,Trump,1269350,730773,483973,57.571,38.128,-3,-2
Kansas,6,Trump,1269394,721061,494407,56.804,38.948,-3,-1
Kansas,6,Trump,1269489,722303,493614,56.897,38.883,-3,-1
Kansas,6,Trump,1269174,721548,494069,56.852,38.928,-3,-1
Kansas,6,Trump,1269224,720754,494711,56.787,38.977,-3,-1
Kansas,6,Trump,1268833,721035,494072,56.827,38.939,-3,-1
Kansas,6,Trump,1268261,720379,493983,56.801,38.95,-3,-1
Kansas,6,Trump,1269422,721091,494436,56.805,38.95,-3,-1
Kansas,6,Trump,1269651,721178,494877,56.801,38.977,-3,-1
Kansas,6,Trump,1269037,720418,494646,56.769,38.978,-3,-1
Kansas,6,Trump,1270473,722016,494519,56.83,38.924,-3,-1
Kansas,6,Trump,1268776,711538,504113,56.081,39.732,-3,0
Kansas,6,Trump,1270199,712904,504284,56.125,39.701,-3,0
Kansas,6,Trump,1268767,711812,503571,56.103,39.69,-3,0
Kansas,6,Trump,1269262,712062,504124,56.1,39.718,-3,0
Kansas,6,Trump,1270173,711486,505120,56.015,39.768,-3,0
Kansas,6,Trump,1269142,711563,504266,56.066,39.733,-3,0
Kansas,6,Trump,1269074,712703,502901,56.159,39.627,-3,0
Kansas,6,Trump,1268607,712005,503455,56.125,39.686,-3,0
Kansas,6,Trump,1268570,711930,503374,56.121,39.68,-3,0
Kansas,6,Trump,1269031,711726,504205,56.084,39.731,-3,0
Kansas,6,Trump,1269335,704349,512579,55.49,40.382,-3,1
Kansas,6,Trump,1268715,703642,512628,55.461,40.405,-3,1
Kansas,6,Trump,1269048,703397,513323,55.427,40.449,-3,1
Kansas,6,Trump,1268840,701197,514879,55.263,40.579,-3,1
Kansas,6,Trump,1269751,704713,512068,55.5,40.328,-3,1
Kansas,6,Trump,1268421,703146,512349,55.435,40.393,-3,1
Kansas,6,Trump,1269758,704274,512653,55.465,40.374,-3,1
Kansas,6,Trump,1269269,703296,513589,55.41,40.463,-3,1
Kansas,6,Trump,1269227,703760,513144,55.448,40.43,-3,1
Kansas,6,Trump,1269801,702743,514347,55.343,40.506,-3,1
Kansas,6,Trump,1270709,695377,522950,54.724,41.154,-3,2
Kansas,6,Trump,1268995,694797,522570,54.752,41.18,-3,2
Kansas,6,Trump,1268900,694069,522634,54.698,41.188,-3,2
Kansas,6,Trump,1268768,695438,521545,54.812,41.106,-3,2
Kansas,6,Trump,1268851,695378,521496,54.804,41.1,-3,2
Kansas,6,Trump,1269277,694615,522767,54.725,41.186,-3,2
Kansas,6,Trump,1269275,694937,522664,54.751,41.178,-3,2
Kansas,6,Trump,1269076,694391,522851,54.716,41.199,-3,2
Kansas,6,Trump,1269232,694581,522479,54.725,41.165,-3,2
Kansas,6,Trump,1268351,694067,522300,54.722,41.179,-3,2
Kansas,6,Trump,1268587,685598,531635,54.044,41.908,-3,3
Kansas,6,Trump,1268794,686360,530598,54.095,41.819,-3,3
Kansas,6,Trump,1268124,685619,530968,54.066,41.87,-3,3
Kansas,6,Trump,1269474,686649,531506,54.089,41.868,-3,3
Kansas,6,Trump,1268145,686473,530177,54.132,41.807,-3,3
Kansas,6,Trump,1269779,686043,532048,54.029,41.901,-3,3
Kansas,6,Trump,1269141,686236,531675,54.071,41.893,-3,3
Kansas,6,Trump,1269205,685331,532732,53.997,41.974,-3,3
Kansas,6,Trump,1269788,686303,532028,54.049,41.899,-3,3
Kansas,6,Trump,1270831,687089,532342,54.066,41.889,-3,3
Kansas,6,Trump,1269181,676781,541619,53.324,42.675,-3,4
Kansas,6,Trump,1269831,677793,540693,53.377,42.58,-3,4
Kansas,6,Trump,1269618,676784,541888,53.306,42.681,-3,4
Kansas,6,Trump,1270428,679496,539932,53.486,42.5,-3,4
Kansas,6,Trump,1268957,677456,540659,53.387,42.607,-3,4
Kansas,6,Trump,1268649,677877,540028,53.433,42.567,-3,4
Kansas,6,Trump,1269043,678195,539976,53.441,42.55,-3,4
Kansas,6,Trump,1269957,678625,539927,53.437,42.515,-3,4
Kansas,6,Trump,1269384,677468,540663,53.37,42.593,-3,4
Kansas,6,Trump,1268290,677227,540301,53.397,42.601,-3,4
Kansas,6,Trump,1269332,757052,457274,59.642,36.025,-2,-4
Kansas,6,Trump,1269178,756101,457412,59.574,36.04,-2,-4
Kansas,6,Trump,1269434,757342,456442,59.66,35.956,-2,-4
Kansas,6,Trump,1269538,757501,457249,59.667,36.017,-2,-4
Kansas,6,Trump,1268435,756333,456860,59.627,36.018,-2,-4
Kansas,6,Trump,1267546,756560,456255,59.687,35.995,-2,-4
Kansas,6,Trump,1269609,757386,456928,59.655,35.99,-2,-4
Kansas,6,Trump,1269829,757139,457259,59.625,36.009,-2,-4
Kansas,6,Trump,1268839,757340,456178,59.688,35.952,-2,-4
Kansas,6,Trump,1268770,757172,456651,59.678,35.992,-2,-4
Kansas,6,Trump,1268615,746147,467652,58.816,36.863,-2,-3
Kansas,6,Trump,1269422,747912,467351,58.918,36.816,-2,-3
Kansas,6,Trump,1268605,747109,466560,58.892,36.777,-2,-3
Kansas,6,Trump,1268637,745822,468173,58.789,36.904,-2,-3
Kansas,6,Trump,1268804,747782,466617,58.936,36.776,-2,-3
Kansas,6,Trump,1269687,747260,467934,58.854,36.854,-2,-3
Kansas,6,Trump,1268796,746820,467483,58.861,36.845,-2,-3
Kansas,6,Trump,1268851,747360,467256,58.901,36.825,-2,-3
Kansas,6,Trump,1268826,747054,467109,58.878,36.814,-2,-3
Kansas,6,Trump,1269122,747941,466563,58.934,36.763,-2,-3
