State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Idaho,4,Trump,733389,492615,208735,67.17,28.462,-4,-4
Idaho,4,Trump,732883,491806,208824,67.106,28.493,-4,-4
Idaho,4,Trump,733673,491787,209356,67.031,28.535,-4,-4
Idaho,4,Trump,733951,492631,208956,67.12,28.47,-4,-4
Idaho,4,Trump,733400,490841,210112,66.927,28.649,-4,-4
Idaho,4,Trump,733568,492078,209323,67.08,28.535,-4,-4
Idaho,4,Trump,733330,491880,209135,67.075,28.519,-4,-4
Idaho,4,Trump,732667,491023,209233,67.019,28.558,-4,-4
Idaho,4,Trump,733299,492196,208985,67.121,28.499,-4,-4
Idaho,4,Trump,733469,491999,208935,67.078,28.486,-4,-4
Idaho,4,Trump,733856,486054,216214,66.233,29.463,-4,-3
Idaho,4,Trump,733843,486303,215858,66.268,29.415,-4,-3
Idaho,4,Trump,733520,485424,216529,66.177,29.519,-4,-3
Idaho,4,Trump,733298,485264,216238,66.176,29.488,-4,-3
Idaho,4,Trump,733515,484942,216484,66.112,29.513,-4,-3
Idaho,4,Trump,733640,485887,215979,66.23,29.439,-4,-3
Idaho,4,Trump,732739,485286,215912,66.229,29.466,-4,-3
Idaho,4,Trump,733443,485185,216405,66.152,29.505,-4,-3
Idaho,4,Trump,733348,485687,215872,66.229,29.437,-4,-3
Idaho,4,Trump,733353,484820,216559,66.11,29.53,-4,-3
Idaho,4,Trump,733210,478614,222984,65.277,30.412,-4,-2
Idaho,4,Trump,733362,479140,222930,65.335,30.398,-4,-2
Idaho,4,Trump,733304,479327,222570,65.365,30.352,-4,-2
Idaho,4,Trump,733083,478457,223003,65.266,30.42,-4,-2
Idaho,4,Trump,733478,479354,222859,65.354,30.384,-4,-2
Idaho,4,Trump,733131,478721,222865,65.298,30.399,-4,-2
Idaho,4,Trump,732918,478921,222563,65.344,30.367,-4,-2
Idaho,4,Trump,733206,478699,222927,65.288,30.404,-4,-2
