State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
South Carolina,9,Trump,1992402,1146162,767158,57.527,38.504,-4,-4
South Carolina,9,Trump,1991603,1144120,768484,57.447,38.586,-4,-4
South Carolina,9,Trump,1991996,1145823,767522,57.521,38.53,-4,-4
South Carolina,9,Trump,1992066,1145617,767900,57.509,38.548,-4,-4
South Carolina,9,Trump,1992344,1145691,768410,57.505,38.568,-4,-4
South Carolina,9,Trump,1992278,1146756,766222,57.56,38.46,-4,-4
South Carolina,9,Trump,1992681,1145468,767762,57.484,38.529,-4,-4
South Carolina,9,Trump,1992229,1144583,768588,57.452,38.579,-4,-4
South Carolina,9,Trump,1992042,1145107,767895,57.484,38.548,-4,-4
South Carolina,9,Trump,1991734,1145235,767073,57.499,38.513,-4,-4
South Carolina,9,Trump,1992519,1131802,782288,56.803,39.261,-4,-3
South Carolina,9,Trump,1991777,1132269,781427,56.847,39.233,-4,-3
South Carolina,9,Trump,1992650,1132869,781596,56.852,39.224,-4,-3
South Carolina,9,Trump,1991828,1133454,780863,56.905,39.203,-4,-3
South Carolina,9,Trump,1991567,1131439,782542,56.811,39.293,-4,-3
South Carolina,9,Trump,1992333,1132437,781611,56.84,39.231,-4,-3
South Carolina,9,Trump,1991639,1132367,781380,56.856,39.233,-4,-3
South Carolina,9,Trump,1992026,1131842,782001,56.819,39.257,-4,-3
South Carolina,9,Trump,1992403,1133489,780693,56.891,39.183,-4,-3
South Carolina,9,Trump,1991534,1131197,782018,56.8,39.267,-4,-3
South Carolina,9,Trump,1991790,1118520,796146,56.157,39.971,-4,-2
South Carolina,9,Trump,1993522,1120194,796136,56.192,39.936,-4,-2
South Carolina,9,Trump,1991799,1119478,795468,56.204,39.937,-4,-2
South Carolina,9,Trump,1991128,1118236,795390,56.161,39.947,-4,-2
South Carolina,9,Trump,1992730,1118562,796573,56.132,39.974,-4,-2
South Carolina,9,Trump,1992513,1118689,796766,56.145,39.988,-4,-2
South Carolina,9,Trump,1991948,1118173,797040,56.135,40.013,-4,-2
South Carolina,9,Trump,1991807,1119167,795374,56.189,39.932,-4,-2
South Carolina,9,Trump,1991552,1117355,797195,56.105,40.029,-4,-2
South Carolina,9,Trump,1992090,1118137,796261,56.129,39.971,-4,-2
South Carolina,9,Trump,1992472,1106323,809682,55.525,40.637,-4,-1
South Carolina,9,Trump,1991020,1105229,808976,55.511,40.631,-4,-1
South Carolina,9,Trump,1992310,1105319,810378,55.479,40.675,-4,-1
South Carolina,9,Trump,1990924,1105548,808741,55.529,40.621,-4,-1
South Carolina,9,Trump,1992419,1106175,809420,55.519,40.625,-4,-1
South Carolina,9,Trump,1991552,1104341,810667,55.451,40.705,-4,-1
South Carolina,9,Trump,1991998,1106159,809853,55.53,40.655,-4,-1
South Carolina,9,Trump,1991260,1105322,809444,55.509,40.65,-4,-1
South Carolina,9,Trump,1992131,1106295,809511,55.533,40.635,-4,-1
South Carolina,9,Trump,1990820,1104806,809556,55.495,40.664,-4,-1
South Carolina,9,Trump,1992495,1094436,822398,54.928,41.275,-4,0
South Carolina,9,Trump,1993096,1094434,822934,54.911,41.289,-4,0
South Carolina,9,Trump,1992055,1091835,824099,54.809,41.369,-4,0
South Carolina,9,Trump,1991868,1094306,821705,54.939,41.253,-4,0
South Carolina,9,Trump,1992286,1093357,822815,54.88,41.3,-4,0
South Carolina,9,Trump,1991704,1092529,823595,54.854,41.351,-4,0
South Carolina,9,Trump,1992351,1093748,822834,54.897,41.3,-4,0
South Carolina,9,Trump,1993720,1093762,823996,54.86,41.33,-4,0
South Carolina,9,Trump,1992116,1093397,822897,54.886,41.308,-4,0
South Carolina,9,Trump,1991881,1093253,823153,54.885,41.325,-4,0
South Carolina,9,Trump,1991532,1080457,836164,54.253,41.986,-4,1
South Carolina,9,Trump,1993163,1082623,835454,54.317,41.916,-4,1
South Carolina,9,Trump,1991888,1080690,835878,54.255,41.964,-4,1
South Carolina,9,Trump,1992765,1080592,837441,54.226,42.024,-4,1
South Carolina,9,Trump,1992800,1081886,836425,54.29,41.972,-4,1
South Carolina,9,Trump,1992665,1081074,836880,54.253,41.998,-4,1
South Carolina,9,Trump,1991648,1080547,836441,54.254,41.997,-4,1
South Carolina,9,Trump,1992283,1080323,836889,54.225,42.007,-4,1
South Carolina,9,Trump,1992008,1080807,836234,54.257,41.979,-4,1
South Carolina,9,Trump,1991784,1082806,834221,54.364,41.883,-4,1
South Carolina,9,Trump,1992062,1069216,848753,53.674,42.607,-4,2
South Carolina,9,Trump,1992273,1068117,849867,53.613,42.658,-4,2
South Carolina,9,Trump,1992562,1069633,848683,53.681,42.593,-4,2
South Carolina,9,Trump,1993227,1070916,847744,53.728,42.531,-4,2
South Carolina,9,Trump,1990457,1067784,848039,53.645,42.605,-4,2
South Carolina,9,Trump,1992872,1068749,849906,53.629,42.647,-4,2
South Carolina,9,Trump,1991388,1069177,847980,53.69,42.582,-4,2
South Carolina,9,Trump,1992551,1068368,849925,53.618,42.655,-4,2
South Carolina,9,Trump,1990688,1068077,848274,53.654,42.612,-4,2
South Carolina,9,Trump,1991755,1068594,849170,53.651,42.634,-4,2
