State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Massachusetts,11,Biden,2893268,901740,1864379,31.167,64.439,-4,-4
Massachusetts,11,Biden,2894063,903332,1863703,31.213,64.397,-4,-4
Massachusetts,11,Biden,2891129,899879,1864260,31.126,64.482,-4,-4
Massachusetts,11,Biden,2892611,901175,1864254,31.154,64.449,-4,-4
Massachusetts,11,Biden,2893769,902056,1864151,31.172,64.419,-4,-4
Massachusetts,11,Biden,2893010,902644,1862794,31.201,64.389,-4,-4
Massachusetts,11,Biden,2893018,902784,1862554,31.206,64.381,-4,-4
Massachusetts,11,Biden,2894000,902202,1864907,31.175,64.44,-4,-4
Massachusetts,11,Biden,2893330,902574,1863697,31.195,64.414,-4,-4
Massachusetts,11,Biden,2894365,903441,1863482,31.214,64.383,-4,-4
Massachusetts,11,Biden,2892936,890368,1876816,30.777,64.876,-4,-3
Massachusetts,11,Biden,2893340,889142,1878871,30.731,64.938,-4,-3
Massachusetts,11,Biden,2890572,891430,1872782,30.839,64.789,-4,-3
Massachusetts,11,Biden,2892501,891347,1874986,30.816,64.822,-4,-3
Massachusetts,11,Biden,2894487,890293,1878282,30.758,64.892,-4,-3
Massachusetts,11,Biden,2892507,889917,1876621,30.766,64.879,-4,-3
Massachusetts,11,Biden,2893308,890061,1877802,30.763,64.902,-4,-3
Massachusetts,11,Biden,2893803,890395,1877613,30.769,64.884,-4,-3
Massachusetts,11,Biden,2894113,890221,1878502,30.76,64.908,-4,-3
Massachusetts,11,Biden,2894302,889864,1879091,30.745,64.924,-4,-3
Massachusetts,11,Biden,2892870,879892,1888841,30.416,65.293,-4,-2
Massachusetts,11,Biden,2893510,880258,1889065,30.422,65.286,-4,-2
Massachusetts,11,Biden,2893556,877051,1892130,30.31,65.391,-4,-2
Massachusetts,11,Biden,2892778,879636,1888607,30.408,65.287,-4,-2
Massachusetts,11,Biden,2893317,878656,1891160,30.368,65.363,-4,-2
Massachusetts,11,Biden,2892021,878262,1889068,30.368,65.32,-4,-2
Massachusetts,11,Biden,2894983,878417,1892176,30.343,65.361,-4,-2
Massachusetts,11,Biden,2892866,877389,1890692,30.329,65.357,-4,-2
Massachusetts,11,Biden,2893099,879186,1889892,30.389,65.324,-4,-2
Massachusetts,11,Biden,2891865,879616,1888693,30.417,65.311,-4,-2
Massachusetts,11,Biden,2893159,867853,1902641,29.997,65.763,-4,-1
Massachusetts,11,Biden,2894169,867326,1903445,29.968,65.768,-4,-1
Massachusetts,11,Biden,2892621,868011,1901865,30.008,65.749,-4,-1
Massachusetts,11,Biden,2892543,867152,1903147,29.979,65.795,-4,-1
Massachusetts,11,Biden,2892809,867018,1902389,29.971,65.763,-4,-1
Massachusetts,11,Biden,2893703,866383,1904615,29.94,65.819,-4,-1
Massachusetts,11,Biden,2893596,868462,1902701,30.013,65.756,-4,-1
Massachusetts,11,Biden,2893432,866507,1903982,29.947,65.804,-4,-1
